CommitId;RefactoringType;RefactoringDetail
dafa4b0bec4e7ec5e1df75e3fb9a2fdf4920921a;Change Attribute Type;Change Attribute Type	lookups : List<ProviderLookup<?>> to providerLookups : Set<ProviderLookup<?>> in class com.google.inject.internal.InheritingState
dafa4b0bec4e7ec5e1df75e3fb9a2fdf4920921a;Change Return Type;Change Return Type	List<ProviderLookup<?>> to Set<ProviderLookup<?>> in method public getProviderLookupsThisLevel() : Set<ProviderLookup<?>> in class com.google.inject.internal.State
dafa4b0bec4e7ec5e1df75e3fb9a2fdf4920921a;Change Return Type;Change Return Type	List<ProviderLookup<?>> to Set<ProviderLookup<?>> in method public getProviderLookupsThisLevel() : Set<ProviderLookup<?>> in class com.google.inject.internal.WeakKeySetTest.TestState
dafa4b0bec4e7ec5e1df75e3fb9a2fdf4920921a;Rename Method;Rename Method	public testGetElements() : void renamed to public testGetElements_providerLookups() : void in class com.google.inject.spi.InjectorSpiTest
a533bf26c612003a99996f07f64148ddd1602d06;Extract Class;Extract Class	com.google.inject.internal.DeclaredMembers from class com.google.inject.spi.InjectionPoint
a533bf26c612003a99996f07f64148ddd1602d06;Move Attribute;Move Attribute	private CLASS_ORDERING : Ordering<Class<?>> from class com.google.inject.spi.InjectionPoint to class com.google.inject.internal.DeclaredMembers
a533bf26c612003a99996f07f64148ddd1602d06;Move Attribute;Move Attribute	private FIELD_ORDERING : Ordering<Field> from class com.google.inject.spi.InjectionPoint to class com.google.inject.internal.DeclaredMembers
a533bf26c612003a99996f07f64148ddd1602d06;Move Attribute;Move Attribute	private METHOD_ORDERING : Ordering<Method> from class com.google.inject.spi.InjectionPoint to class com.google.inject.internal.DeclaredMembers
0367f870f7d412918dab2c596bb6b0ac3f4e93ca;Change Return Type;Change Return Type	Object to void in method public putProviderLookup(lookup ProviderLookup<?>) : void in class com.google.inject.internal.WeakKeySetTest.TestState
0367f870f7d412918dab2c596bb6b0ac3f4e93ca;Rename Method;Rename Method	public singletonCreationLock() : Object renamed to public putProviderLookup(lookup ProviderLookup<?>) : void in class com.google.inject.internal.WeakKeySetTest.TestState
0451111076c353f0a4cb5e2c149af828a06a2b2d;Change Variable Type;Change Variable Type	field : Field to fieldInfo : BoundFieldInfo in method public configure(binder Binder) : void in class com.google.inject.testing.fieldbinder.BoundFieldModule
0451111076c353f0a4cb5e2c149af828a06a2b2d;Rename Variable;Rename Variable	field : Field to fieldInfo : BoundFieldInfo in method public configure(binder Binder) : void in class com.google.inject.testing.fieldbinder.BoundFieldModule
0451111076c353f0a4cb5e2c149af828a06a2b2d;Rename Method;Rename Method	private getBoundType() : TypeLiteral<?> renamed to private computeBoundType(naturalType Optional<TypeLiteral<?>>) : TypeLiteral<?> in class com.google.inject.testing.fieldbinder.BoundFieldModule.BoundFieldInfo
0451111076c353f0a4cb5e2c149af828a06a2b2d;Rename Method;Rename Method	private getNaturalFieldType() : Optional<TypeLiteral<?>> renamed to private computeNaturalFieldType() : Optional<TypeLiteral<?>> in class com.google.inject.testing.fieldbinder.BoundFieldModule.BoundFieldInfo
0451111076c353f0a4cb5e2c149af828a06a2b2d;Rename Attribute;Rename Attribute	type : TypeLiteral<?> to fieldType : TypeLiteral<?> in class com.google.inject.testing.fieldbinder.BoundFieldModule.BoundFieldInfo
